nomedepartamento;nomelinha;sublinha;no_gerencia;gerencia;categoria;subcategoria
Móveis;Escritório;Estantes e Armários;6;Móveis;Escritório;Outros
102;2995;2997;5;Portáteis / Beleza & Saúde;Beleza & Saúde;Hospitais. Clínicas e Laboratórios
1732;1765;1742;9;CL - CAMEBA/UD/3P;CAMEBA;Cama
1732;1765;1766;9;CL - CAMEBA/UD/3P;CAMEBA;Cama
1733;1817;1844;9;CL - CAMEBA/UD/3P;Relógios;Relógios
1733;1817;2068;9;CL - CAMEBA/UD/3P;Relógios;Relógios
1886;1887;1888;9;CL - CAMEBA/UD/3P;Puro 3P;Perfumaria
2471;1949;2401;9;CL - CAMEBA/UD/3P;Puro 3P;Instrumentos Musicais
2471;1949;2481;9;CL - CAMEBA/UD/3P;Puro 3P;Instrumentos Musicais
2471;1949;2495;9;CL - CAMEBA/UD/3P;Puro 3P;Instrumentos Musicais
3359;291;680;9;CL - CAMEBA/UD/3P;Decoração;Outros
3359;291;NA;9;CL - CAMEBA/UD/3P;Decoração;Outros
3359;291;;9;CL - CAMEBA/UD/3P;Decoração;Outros
371;412;510;9;CL - CAMEBA/UD/3P;Utilidades Domésticas;Acessórios e Utensílios
38;326;3266;1;Telefonia;Smartphones;Adobe
418;2026;NA;8;CL - Bebê/Brinquedos/E&L;Esporte & Lazer;Outros
418;2026;;8;CL - Bebê/Brinquedos/E&L;Esporte & Lazer;Outros
56;57;259;4;Info/Áudio/Games/Cam.;Informática;Notebooks Adobe
56;57;359;4;Info/Áudio/Games/Cam.;Informática;Notebooks Adobe
56;57;NA;4;Info/Áudio/Games/Cam.;Informática;Notebooks Adobe
56;57;;4;Info/Áudio/Games/Cam.;Informática;Notebooks Adobe
827;830;1101;7;CL - Auto e Ferramentas;Ferramentas;Ferramentas Elétricas
977;972;1011;8;CL - Bebê/Brinquedos/E&L;Brinquedos;Outros
977;972;3043;8;CL - Bebê/Brinquedos/E&L;Brinquedos;Outros
977;972;NA;8;CL - Bebê/Brinquedos/E&L;Brinquedos;Outros
977;972;;8;CL - Bebê/Brinquedos/E&L;Brinquedos;Outros
983;1045;1060;8;CL - Bebê/Brinquedos/E&L;Bebês;Outros
983;1045;1053;8;CL - Bebê/Brinquedos/E&L;Bebês;Outros
983;1045;927;8;CL - Bebê/Brinquedos/E&L;Bebês;Outros
983;1045;NA;8;CL - Bebê/Brinquedos/E&L;Bebês;Outros
983;1045;;8;CL - Bebê/Brinquedos/E&L;Bebês;Outros
983;1045;903;8;CL - Bebê/Brinquedos/E&L;Bebês;Outros
Alameda de Serviços;::unspecified::;::unspecified::;n/a;n/a;n/a;n/a
Alameda de Serviços;Assinatura Digital;::unspecified::;n/a;n/a;n/a;n/a
Alameda de Serviços;Assinatura Digital;Novidades em Alameda de Serviços;n/a;n/a;n/a;n/a
Alameda de Serviços;Assinatura Digital;assinatura digital;n/a;n/a;n/a;n/a
Alameda de Serviços;Cartão Presente;::unspecified::;n/a;n/a;n/a;n/a
Alameda de Serviços;Cartão Presente;Autoajuda;n/a;n/a;n/a;n/a
Alameda de Serviços;Cartão Presente;Câmeras e Monitores;n/a;n/a;n/a;n/a
Alameda de Serviços;Cartão Presente;cartao presente;n/a;n/a;n/a;n/a
Alameda de Serviços;Cartão Presente;Pulverizadores;n/a;n/a;n/a;n/a
Alameda de Serviços;Cursos Online;Curso Educação;n/a;n/a;n/a;n/a
Alameda de Serviços;Cursos Online;Curso Fotografia;n/a;n/a;n/a;n/a
Alameda de Serviços;Cursos Online;Curso Gestão e Negócios;n/a;n/a;n/a;n/a
Alameda de Serviços;Cursos Online;Curso Língua Portuguesa;n/a;n/a;n/a;n/a
Alameda de Serviços;Cursos Online;Curso Online Arte e Cultura;n/a;n/a;n/a;n/a
Alameda de Serviços;Cursos Online;Curso Online Artesanato;n/a;n/a;n/a;n/a
Alameda de Serviços;Cursos Online;Curso Online Atendimento;n/a;n/a;n/a;n/a
Alameda de Serviços;Cursos Online;Curso Online Comportamento;n/a;n/a;n/a;n/a
Alameda de Serviços;Cursos Online;Curso Online Culinária;n/a;n/a;n/a;n/a
Alameda de Serviços;Cursos Online;Curso Online Empregabilidade;n/a;n/a;n/a;n/a
Alameda de Serviços;Cursos Online;Curso Online Esporte;n/a;n/a;n/a;n/a
Alameda de Serviços;Cursos Online;Curso Online Informática;n/a;n/a;n/a;n/a
Alameda de Serviços;Cursos Online;Curso Online Legislação e Jurídico;n/a;n/a;n/a;n/a
Alameda de Serviços;Cursos Online;Curso Online Liderança;n/a;n/a;n/a;n/a
Alameda de Serviços;Cursos Online;Curso Online Línguas;n/a;n/a;n/a;n/a
Alameda de Serviços;Cursos Online;Curso Online Motivação;n/a;n/a;n/a;n/a
Alameda de Serviços;Cursos Online;Curso Saúde e Beleza;n/a;n/a;n/a;n/a
Alameda de Serviços;Cursos Online;Curso Vendas;n/a;n/a;n/a;n/a
Alameda de Serviços;Cursos Presenciais;cursos presenciais;n/a;n/a;n/a;n/a
Alameda de Serviços;Descarte Ecológico;Ofertas de Parceiros;n/a;n/a;n/a;n/a
Alameda de Serviços;Descarte Ecológico;NA;n/a;n/a;n/a;n/a
Alameda de Serviços;Descarte Ecológico;Serviços;n/a;n/a;n/a;n/a
Alameda de Serviços;Garantia Estendida;Outros old2;n/a;n/a;n/a;n/a
Alameda de Serviços;Revelação de Fotos Digitais;revelacao digital - fotos;n/a;n/a;n/a;n/a
Alameda de Serviços;Revelação de Fotos Digitais;Nicho e Prateleira Infantil;n/a;n/a;n/a;n/a
Alameda de Serviços;Suporte Técnico e Instalação;Instalação de Ar e Ventilação;n/a;n/a;n/a;n/a
Alameda de Serviços;Suporte Técnico e Instalação;Montagem de Móveis;n/a;n/a;n/a;n/a
Alameda de Serviços;Suporte Técnico e Instalação;Serviços;n/a;n/a;n/a;n/a
Alameda de Serviços;Suporte Técnico e Instalação;Serviços de Telefones e Celulares;n/a;n/a;n/a;n/a
Alameda de Serviços;Suporte Técnico e Instalação;Serviços de TV e Vídeo;n/a;n/a;n/a;n/a
Alameda de Serviços;;;n/a;n/a;n/a;n/a
Alameda de Serviços;Assinatura Digital;;n/a;n/a;n/a;n/a
Alameda de Serviços;Cartão Presente;;n/a;n/a;n/a;n/a
Alameda de Serviços;Cartão Presente;Caixas de Som;n/a;n/a;n/a;n/a
Alameda de Serviços;Descarte Ecológico;;n/a;n/a;n/a;n/a
Alimentos;Alimentos Básicos;::unspecified::;9;CL - CAMEBA/UD/3P;Puro 3P;Alimentos
Alimentos;Alimentos Básicos;Açúcar;9;CL - CAMEBA/UD/3P;Puro 3P;Alimentos
Alimentos;Alimentos Básicos;Adoçante;9;CL - CAMEBA/UD/3P;Puro 3P;Alimentos
Alimentos;Alimentos Básicos;Alimentos Básicos;9;CL - CAMEBA/UD/3P;Puro 3P;Alimentos
Alimentos;Alimentos Básicos;Arroz;9;CL - CAMEBA/UD/3P;Puro 3P;Alimentos
Alimentos;Alimentos Básicos;Feijão;9;CL - CAMEBA/UD/3P;Puro 3P;Alimentos
Alimentos;Alimentos Básicos;Óleos;9;CL - CAMEBA/UD/3P;Puro 3P;Alimentos
Alimentos;Alimentos Básicos;Sal;9;CL - CAMEBA/UD/3P;Puro 3P;Alimentos
Alimentos;Azeite;::unspecified::;9;CL - CAMEBA/UD/3P;Puro 3P;Alimentos
Alimentos;Azeite;Azeite;9;CL - CAMEBA/UD/3P;Puro 3P;Alimentos
Alimentos;Azeite;Ambiente Completo Infantil;9;CL - CAMEBA/UD/3P;Puro 3P;Alimentos
Alimentos;Azeite;Ofertas de Parceiros;9;CL - CAMEBA/UD/3P;Puro 3P;Alimentos
Alimentos;Bacalhau;::unspecified::;9;CL - CAMEBA/UD/3P;Puro 3P;Alimentos
Alimentos;Bacalhau;Bacalhau;9;CL - CAMEBA/UD/3P;Puro 3P;Alimentos
Alimentos;Bomboniere;::unspecified::;9;CL - CAMEBA/UD/3P;Puro 3P;Alimentos
Alimentos;Bomboniere;Balas e Doces;9;CL - CAMEBA/UD/3P;Puro 3P;Alimentos
Alimentos;Bomboniere;Barra de cereal;9;CL - CAMEBA/UD/3P;Puro 3P;Alimentos
Alimentos;Bomboniere;Bolos e Tortas;9;CL - CAMEBA/UD/3P;Puro 3P;Alimentos
Alimentos;Bomboniere;Bomboniere;9;CL - CAMEBA/UD/3P;Puro 3P;Alimentos
Alimentos;Bomboniere;Chocolate;9;CL - CAMEBA/UD/3P;Puro 3P;Alimentos
Alimentos;Bomboniere;Salgadinhos e Batatas;9;CL - CAMEBA/UD/3P;Puro 3P;Alimentos
Alimentos;Cesta de Natal;cesta de natal;9;CL - CAMEBA/UD/3P;Puro 3P;Alimentos
Alimentos;Cesta de Natal;NA;9;CL - CAMEBA/UD/3P;Puro 3P;Alimentos
Alimentos;Colomba Pascal;::unspecified::;9;CL - CAMEBA/UD/3P;Puro 3P;Alimentos
Alimentos;Colomba Pascal;colomba pascal;9;CL - CAMEBA/UD/3P;Puro 3P;Alimentos
Alimentos;Condimentos e Conservas;::unspecified::;9;CL - CAMEBA/UD/3P;Puro 3P;Alimentos
Alimentos;Condimentos e Conservas;Conservas vegetais;9;CL - CAMEBA/UD/3P;Puro 3P;Alimentos
Alimentos;Condimentos e Conservas;Legumes e Grãos enlatados;9;CL - CAMEBA/UD/3P;Puro 3P;Alimentos
