id,createdat,reportsuiteid,reportsuitename,data,hour,iddepartament,channel,visits,uniquevisitors,pageviews,orders,ordersserialized,revenue,bouncerate,exits,productviewserialized,cartaddserialized,checkoutserialized,checkoutaddresslist,checkoutpayment,checkoutconfirmation,bounces,entries
1246781894,2018-09-13 18:08:29.0,np-casasbahia-mobile,CM - Casas Bahia Mobile,2018-09-13,10,1639,Canal - SEM Search (WA),1,1,1,0,0,0,0,0,1,0,0,0,1,null,0,0
1246781894,2018-09-13 18:08:29.0,np-casasbahia-mobile,CM - Casas Bahia Mobile,2018-09-13,10,1639,Canal - Social DPA (WA),1,1,1,0,0,0,0,0,0,0,0,0,0,null,0,0
1246781894,2018-09-13 18:08:29.0,np-casasbahia-mobile,CM - Casas Bahia Mobile,2018-09-13,11,827,Canal - SEM PLA (WA),196,195,404,1,47,2,2,0,186,11,1,5,179,47,86,181
1246781894,2018-09-13 18:08:29.0,np-casasbahia-mobile,CM - Casas Bahia Mobile,2018-09-13,11,827,Canal - SEO (WA),63,63,181,1,479,2,2,0,51,3,1,2,54,77,7,9
1246781894,2018-09-13 18:08:29.0,np-casasbahia-mobile,CM - Casas Bahia Mobile,2018-09-13,11,827,Canal - Comparador de Preço (WA),47,47,121,1,206,1,1,0,43,3,1,2,42,46,19,41
1246781894,2018-09-13 18:08:29.0,np-casasbahia-mobile,CM - Casas Bahia Mobile,2018-09-13,11,827,::unspecified::,37,37,109,0,0,0,0,0,31,1,0,1,25,70,7,10
1246781894,2018-09-13 18:08:29.0,np-casasbahia-mobile,CM - Casas Bahia Mobile,2018-09-13,11,827,Canal - Social DPA (WA),24,24,56,0,0,0,0,0,20,2,0,1,23,50,10,20
1246781894,2018-09-13 18:08:29.0,np-casasbahia-mobile,CM - Casas Bahia Mobile,2018-09-13,11,827,Canal - SEM Branding (WA),23,23,97,1,266,2,2,0,17,4,1,3,11,null,0,0
1246781894,2018-09-13 18:08:29.0,np-casasbahia-mobile,CM - Casas Bahia Mobile,2018-09-13,11,827,Canal - Retargeting (WA),21,21,36,0,0,0,0,0,20,0,0,0,19,70,14,20
1246781894,2018-09-13 18:08:29.0,np-casasbahia-mobile,CM - Casas Bahia Mobile,2018-09-13,11,827,Canal - Email Marketing (WA),6,6,12,0,0,0,0,0,4,1,0,1,2,null,0,0
1246781894,2018-09-13 18:08:29.0,np-casasbahia-mobile,CM - Casas Bahia Mobile,2018-09-13,11,827,Canal - Social Patrocinado (WA),2,2,9,0,0,1,1,0,2,1,0,1,0,null,0,0
1246781894,2018-09-13 18:08:29.0,np-casasbahia-mobile,CM - Casas Bahia Mobile,2018-09-13,11,827,Canal - SEM Search (WA),2,2,2,0,0,0,0,0,2,0,0,0,2,100,2,2
1246781894,2018-09-13 18:08:29.0,np-casasbahia-mobile,CM - Casas Bahia Mobile,2018-09-13,11,827,Canal - Afiliados (WA),2,2,2,0,0,0,0,0,1,0,0,0,2,null,0,0
1246781894,2018-09-13 18:08:29.0,np-casasbahia-mobile,CM - Casas Bahia Mobile,2018-09-13,11,3359,Canal - SEM PLA (WA),52,52,70,0,0,1,1,0,47,0,0,0,45,65,31,47
1246781894,2018-09-13 18:08:29.0,np-casasbahia-mobile,CM - Casas Bahia Mobile,2018-09-13,11,3359,::unspecified::,43,43,100,1,69,1,1,0,32,5,1,0,30,60,6,10
1246781894,2018-09-13 18:08:29.0,np-casasbahia-mobile,CM - Casas Bahia Mobile,2018-09-13,11,3359,Canal - SEO (WA),43,43,96,0,0,1,0,0,38,5,0,1,36,75,9,12
1246781894,2018-09-13 18:08:29.0,np-casasbahia-mobile,CM - Casas Bahia Mobile,2018-09-13,11,3359,Canal - Social DPA (WA),22,22,31,0,0,0,0,0,19,0,0,0,15,42,8,19
1246781894,2018-09-13 18:08:29.0,np-casasbahia-mobile,CM - Casas Bahia Mobile,2018-09-13,11,3359,Canal - Display Top Mid(WA),12,12,13,0,0,0,0,0,12,0,0,0,11,100,1,1
