id|reportsuiteid|reportsuitename|data|hour|termo|quantidade|createdat
1441||CB - CasasBahia.com.br|09/08/2018|0|celular|170|2018-08-14 15:54:07.0000000
1442||CB - CasasBahia.com.br|09/08/2018|0|guarda roupas de casal|340|2018-08-14 15:54:07.0000000
1443||CB - CasasBahia.com.br|09/08/2018|0|guarda roupa|192|2018-08-14 15:54:07.0000000
1444||CB - CasasBahia.com.br|09/08/2018|0|notebook|93|2018-08-14 15:54:07.0000000
1445||CB - CasasBahia.com.br|09/08/2018|0|iphone|144|2018-08-14 15:54:07.0000000
1446||CB - CasasBahia.com.br|09/08/2018|0|geladeira|80|2018-08-14 15:54:07.0000000
1447||CB - CasasBahia.com.br|09/08/2018|0|microondas|41|2018-08-14 15:54:07.0000000
1448||CB - CasasBahia.com.br|09/08/2018|0|sofa|35|2018-08-14 15:54:07.0000000
1449||CB - CasasBahia.com.br|09/08/2018|0|painel para tv|86|2018-08-14 15:54:07.0000000
1450||CB - CasasBahia.com.br|09/08/2018|0|armÃ¡rio de cozinha|60|2018-08-14 15:54:07.0000000
1451||CB - CasasBahia.com.br|09/08/2018|1|celular|100|2018-08-14 15:54:07.0000000
1452||CB - CasasBahia.com.br|09/08/2018|1|guarda roupas de casal|34|2018-08-14 15:54:07.0000000
1453||CB - CasasBahia.com.br|09/08/2018|1|guarda roupa|45|2018-08-14 15:54:07.0000000
1454||CB - CasasBahia.com.br|09/08/2018|1|notebook|19|2018-08-14 15:54:07.0000000
1455||CB - CasasBahia.com.br|09/08/2018|1|iphone|42|2018-08-14 15:54:07.0000000
1456||CB - CasasBahia.com.br|09/08/2018|1|geladeira|18|2018-08-14 15:54:07.0000000
1457||CB - CasasBahia.com.br|09/08/2018|1|microondas|42|2018-08-14 15:54:07.0000000
1458||CB - CasasBahia.com.br|09/08/2018|1|sofa|47|2018-08-14 15:54:07.0000000
1459||CB - CasasBahia.com.br|09/08/2018|1|painel para tv|58|2018-08-14 15:54:07.0000000
1460||CB - CasasBahia.com.br|09/08/2018|1|armÃ¡rio de cozinha|45|2018-08-14 15:54:07.0000000
1461||CB - CasasBahia.com.br|09/08/2018|2|celular|38|2018-08-14 15:54:07.0000000
1462||CB - CasasBahia.com.br|09/08/2018|2|guarda roupas de casal|25|2018-08-14 15:54:07.0000000
1463||CB - CasasBahia.com.br|09/08/2018|2|guarda roupa|40|2018-08-14 15:54:07.0000000
1464||CB - CasasBahia.com.br|09/08/2018|2|notebook|18|2018-08-14 15:54:07.0000000
1465||CB - CasasBahia.com.br|09/08/2018|2|iphone|49|2018-08-14 15:54:07.0000000
1466||CB - CasasBahia.com.br|09/08/2018|2|geladeira|8|2018-08-14 15:54:07.0000000
1467||CB - CasasBahia.com.br|09/08/2018|2|microondas|8|2018-08-14 15:54:07.0000000
1468||CB - CasasBahia.com.br|09/08/2018|2|sofa|37|2018-08-14 15:54:07.0000000
1469||CB - CasasBahia.com.br|09/08/2018|2|painel para tv|76|2018-08-14 15:54:07.0000000
1470||CB - CasasBahia.com.br|09/08/2018|2|armÃ¡rio de cozinha|9|2018-08-14 15:54:07.0000000
1471||CB - CasasBahia.com.br|09/08/2018|3|celular|17|2018-08-14 15:54:07.0000000
1472||CB - CasasBahia.com.br|09/08/2018|3|guarda roupas de casal|12|2018-08-14 15:54:07.0000000
1473||CB - CasasBahia.com.br|09/08/2018|3|guarda roupa|7|2018-08-14 15:54:07.0000000
1474||CB - CasasBahia.com.br|09/08/2018|3|notebook|10|2018-08-14 15:54:07.0000000
1475||CB - CasasBahia.com.br|09/08/2018|3|iphone|2|2018-08-14 15:54:07.0000000
1476||CB - CasasBahia.com.br|09/08/2018|3|geladeira|17|2018-08-14 15:54:07.0000000
1477||CB - CasasBahia.com.br|09/08/2018|3|microondas|0|2018-08-14 15:54:07.0000000
1478||CB - CasasBahia.com.br|09/08/2018|3|sofa|0|2018-08-14 15:54:07.0000000
